Date,Ticker,Asset,Open,High,Low,Close,Adj_Close,Volume,Dividends,Stock_Splits,Log_Return,Squared_Return,Target_Date,Target_Squared_Return,Role,Forecast_Horizon,Split
2010-06-30,AAPL,Apple,9.168213844299316,9.213213920593262,8.928929328918457,8.983214378356934,7.523168087005615,739452000,0.0,0.0,-1.8279322142249408,3.341336179801295,2010-07-01,1.4883563462219944,Stock,1,Train
2010-07-01,AAPL,Apple,9.08214282989502,9.100000381469728,8.686429023742676,8.874285697937012,7.431944370269775,1022896000,0.0,0.0,-1.2199821089761909,1.4883563462219944,2010-07-02,0.3865023577541018,Stock,1,Train
2010-07-02,AAPL,Apple,8.946070671081543,8.961786270141602,8.685713768005371,8.819286346435547,7.385883808135986,693842800,0.0,0.0,-0.6216931379339021,0.3865023577541018,2010-07-06,0.4652096094800186,Stock,1,Train
2010-07-06,AAPL,Apple,8.964285850524902,9.028571128845217,8.791428565979004,8.879643440246582,7.436432361602783,615235600,0.0,0.0,0.6820627606606438,0.4652096094800186,2010-07-07,15.671446880346886,Stock,1,Train
2010-07-07,AAPL,Apple,8.946070671081543,9.241786003112791,8.91964340209961,9.238213539123535,7.736724376678467,654556000,0.0,0.0,3.958717832878075,15.671446880346886,2010-07-08,0.0503961910817069,Stock,1,Train
2010-07-08,AAPL,Apple,9.374285697937012,9.389286041259766,9.103214263916016,9.217499732971191,7.719375610351563,738144400,0.0,0.0,-0.2244909599108768,0.0503961910817069,2010-07-09,0.3493715992234139,Stock,1,Train
2010-07-09,AAPL,Apple,9.174642562866213,9.282142639160156,9.1128568649292,9.272143363952637,7.765138149261475,433322400,0.0,0.0,0.5910766441193679,0.3493715992234139,2010-07-12,0.8127961027681021,Stock,1,Train
2010-07-12,AAPL,Apple,9.233214378356934,9.35178565979004,9.102143287658691,9.188928604125977,7.695446014404297,562878400,0.0,0.0,-0.9015520521678724,0.8127961027681021,2010-07-13,4.651791881606902,Stock,1,Train
2010-07-13,AAPL,Apple,9.15428638458252,9.157142639160156,8.801071166992188,8.992856979370117,7.531247615814209,1190924000,0.0,0.0,-2.156801307864705,4.651791881606902,2010-07-14,0.1358671655323949,Stock,1,Train
2010-07-14,AAPL,Apple,8.906429290771484,9.135713577270508,8.89285659790039,9.026070594787598,7.559059143066406,812047600,0.0,0.0,0.3686016352817698,0.1358671655323949,2010-07-15,0.257764690769356,Stock,1,Train
